bucket,method,num_queries,avg_token_len,mrr,hit10,q1_token_len,q2_token_len
short,trunc,66,869.0,0.15011373162269592,0.36363636363636365,1622,11897
short,window,66,869.0,0.1643875241279602,0.3181818181818182,1622,11897
short,fusion,66,869.0,0.1643875241279602,0.3181818181818182,1622,11897
short,dac_fusion,66,869.0,0.15174232423305511,0.3333333333333333,1622,11897
medium,trunc,69,5663.086956521739,0.08320800960063934,0.15942028985507245,1622,11897
medium,window,69,5663.086956521739,0.085390605032444,0.17391304347826086,1622,11897
medium,fusion,69,5663.086956521739,0.085390605032444,0.17391304347826086,1622,11897
medium,dac_fusion,69,5663.086956521739,0.08254560828208923,0.15942028985507245,1622,11897
long,trunc,66,27668.863636363636,0.07317443192005157,0.24242424242424243,1622,11897
long,window,66,27668.863636363636,0.08191278576850891,0.2727272727272727,1622,11897
long,fusion,66,27668.863636363636,0.08191278576850891,0.2727272727272727,1622,11897
long,dac_fusion,66,27668.863636363636,0.08730220794677734,0.3181818181818182,1622,11897
