method,encode_time_s,search_time_s,total_time_s,memory_mb,num_queries,num_candidates
Window (max),1.8070013523101807,1.0193917751312256,2.8263931274414062,5971.765625,195,65
Trunc,0.955935001373291,0.016158580780029297,0.9720935821533203,5970.65185546875,108,67
BM25,0.0788581371307373,0.010999917984008789,0.0898580551147461,5970.65185546875,108,67
GraphCodeBERT,2.741713285446167,1.8722681999206543,4.613981485366821,5970.65185546875,201,67
UniXCoder,1.5717182159423828,1.9076223373413086,3.4793405532836914,5970.65185546875,201,67
