method,encode_time_s,search_time_s,total_time_s,memory_mb,num_queries,num_candidates
Window (max),1.8312201499938965,1.0522403717041016,2.883460521697998,5983.015625,195,65
Trunc,0.9185013771057129,0.01524972915649414,0.933751106262207,5972.90185546875,99,67
BM25,0.06492137908935547,0.009871482849121094,0.07479286193847656,5972.90185546875,99,67
GraphCodeBERT,0.5445995330810547,1.919640302658081,2.4642398357391357,5972.90185546875,201,67
UniXCoder,0.5610523223876953,1.87593412399292,2.4369864463806152,5972.90185546875,201,67
