method,encode_time_s,search_time_s,total_time_s,memory_mb,num_queries,num_candidates
Window (max),1.8094544410705566,1.027893304824829,2.8373477458953857,5983.015625,195,65
Trunc,0.9679598808288574,0.01605367660522461,0.984013557434082,5983.015625,105,67
BM25,0.07906675338745117,0.011214017868041992,0.09028077125549316,5983.015625,105,67
GraphCodeBERT,0.5486783981323242,1.915419340133667,2.464097738265991,5983.015625,201,67
UniXCoder,0.5294280052185059,1.868232250213623,2.397660255432129,5983.015625,201,67
