method,encode_time_s,search_time_s,total_time_s,memory_mb,num_queries,num_candidates
Window (max),1.8166003227233887,1.0488519668579102,2.865452289581299,5983.015625,195,65
Trunc,0.8727869987487793,0.017069339752197266,0.8898563385009766,5983.015625,90,67
BM25,0.0510096549987793,0.008700847625732422,0.05971050262451172,5983.015625,90,67
GraphCodeBERT,0.53708815574646,1.8622164726257324,2.3993046283721924,5983.015625,201,67
UniXCoder,0.5499215126037598,1.840700626373291,2.390622138977051,5983.015625,201,67
