method,encode_time_s,search_time_s,total_time_s,memory_mb,num_queries,num_candidates
Window (max),1.859510898590088,1.0512464046478271,2.910757303237915,5983.015625,195,65
Trunc,0.9303772449493408,0.015252828598022461,0.9456300735473633,5983.015625,105,67
BM25,0.05239367485046387,0.010954618453979492,0.06334829330444336,5983.015625,105,67
GraphCodeBERT,0.5285980701446533,1.8838691711425781,2.4124672412872314,5983.015625,201,67
UniXCoder,0.5184473991394043,1.8368732929229736,2.355320692062378,5983.015625,201,67
