bucket,method,num_queries,avg_token_len,mrr,hit10,q1_token_len,q2_token_len
short,trunc,66,755.7272727272727,0.12780381739139557,0.3787878787878788,1452,9510
short,window,66,755.7272727272727,0.0766562819480896,0.13636363636363635,1452,9510
short,fusion,66,755.7272727272727,0.10810885578393936,0.2727272727272727,1452,9510
short,dac_fusion,66,755.7272727272727,0.12040390819311142,0.2878787878787879,1452,9510
medium,trunc,69,4927.695652173913,0.07579797506332397,0.13043478260869565,1452,9510
medium,window,69,4927.695652173913,0.06300785392522812,0.15942028985507245,1452,9510
medium,fusion,69,4927.695652173913,0.06978360563516617,0.17391304347826086,1452,9510
medium,dac_fusion,69,4927.695652173913,0.06813836842775345,0.17391304347826086,1452,9510
long,trunc,66,27244.0,0.0902685672044754,0.19696969696969696,1452,9510
long,window,66,27244.0,0.152550607919693,0.3181818181818182,1452,9510
long,fusion,66,27244.0,0.1437489092350006,0.25757575757575757,1452,9510
long,dac_fusion,66,27244.0,0.12584127485752106,0.2727272727272727,1452,9510
