bucket,method,num_queries,avg_token_len,mrr,hit10,q1_token_len,q2_token_len
short,trunc,66,960.1363636363636,0.126702681183815,0.2878787878787879,2158,10112
short,window,66,960.1363636363636,0.05759924277663231,0.07575757575757576,2158,10112
short,fusion,66,960.1363636363636,0.05759924277663231,0.07575757575757576,2158,10112
short,dac_fusion,66,960.1363636363636,0.12395226955413818,0.30303030303030304,2158,10112
medium,trunc,69,4685.652173913043,0.09927737712860107,0.2463768115942029,2158,10112
medium,window,69,4685.652173913043,0.11302916705608368,0.2463768115942029,2158,10112
medium,fusion,69,4685.652173913043,0.11302916705608368,0.2463768115942029,2158,10112
medium,dac_fusion,69,4685.652173913043,0.10612785071134567,0.2028985507246377,2158,10112
long,trunc,66,20750.409090909092,0.04061388969421387,0.045454545454545456,2158,10112
long,window,66,20750.409090909092,0.12843742966651917,0.30303030303030304,2158,10112
long,fusion,66,20750.409090909092,0.12843742966651917,0.30303030303030304,2158,10112
long,dac_fusion,66,20750.409090909092,0.052859194576740265,0.13636363636363635,2158,10112
