bucket,method,num_queries,avg_token_len,mrr,hit10,q1_token_len,q2_token_len
short,trunc,66,908.5909090909091,0.15671087801456451,0.3333333333333333,2185,8459
short,window,66,908.5909090909091,0.07033775746822357,0.15151515151515152,2185,8459
short,fusion,66,908.5909090909091,0.1114978939294815,0.2878787878787879,2185,8459
short,dac_fusion,66,908.5909090909091,0.14391280710697174,0.3939393939393939,2185,8459
medium,trunc,69,4663.478260869565,0.07120060920715332,0.2028985507246377,2185,8459
medium,window,69,4663.478260869565,0.05320567265152931,0.08695652173913043,2185,8459
medium,fusion,69,4663.478260869565,0.05889914184808731,0.13043478260869565,2185,8459
medium,dac_fusion,69,4663.478260869565,0.06515133380889893,0.14492753623188406,2185,8459
long,trunc,66,19683.68181818182,0.04595369100570679,0.10606060606060606,2185,8459
long,window,66,19683.68181818182,0.1216740757226944,0.3484848484848485,2185,8459
long,fusion,66,19683.68181818182,0.09348372370004654,0.22727272727272727,2185,8459
long,dac_fusion,66,19683.68181818182,0.062252145260572433,0.13636363636363635,2185,8459
